Country_Name,Country_Code,Indicator_Name,Indicator_Code,Region_name,Region_Code,yr_1970,yr_1971,yr_1972,yr_1973,yr_1974,yr_1975,yr_1976,yr_1977,yr_1978,yr_1979,yr_1980,yr_1981,yr_1982,yr_1983,yr_1984,yr_1985,yr_1986,yr_1987,yr_1988,yr_1989,yr_1990,yr_1991,yr_1992,yr_1993,yr_1994,yr_1995,yr_1996,yr_1997,yr_1998,yr_1999,yr_2000,yr_2001,yr_2002,yr_2003,yr_2004,yr_2005,yr_2006,yr_2007,yr_2008,yr_2009,yr_2010,yr_2011,yr_2012,yr_2013,yr_2014,yr_2015,yr_2016,yr_2017,yr_2020,yr_2025,yr_2030,yr_2035,yr_2040,yr_2045,yr_2050,yr_2055,yr_2060,yr_2065,yr_2070,yr_2075,yr_2080,yr_2085,yr_2090,yr_2095,yr_2100
Low & middle income,LMY,"Adult literacy rate, population 15+ years, male (%)",SE.ADT.LITR.MA.ZS,,,,,,,,,,,,,,,,,,77.90446472,77.90446472,77.90446472,77.90446472,77.90446472,77.90446472,77.90446472,77.90446472,77.90446472,77.90446472,84.06062317,84.06062317,84.06062317,84.06062317,84.06062317,84.06062317,84.06062317,84.06062317,84.06062317,84.06062317,87.0526886,87.0526886,87.0526886,87.0526886,87.0526886,87.0526886,87.0526886,87.0526886,87.0526886,87.0526886,,,,,,,,,,,,,,,,,,,,
Lesotho,LSO,"Adult literacy rate, population 15+ years, male (%)",SE.ADT.LITR.MA.ZS,Sub-Saharan Africa,SSF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.99578,,,,,,,,,65.52196,,,,,67.74747,,,,,,,,,,,,,,,,,,,,
Lithuania,LTU,"Adult literacy rate, population 15+ years, male (%)",SE.ADT.LITR.MA.ZS,Europe & Central Asia,ECS,,,,,,,,,,,,,,,,,,,,99.20681,,,,,,,,,,,,99.64315,,,,,,,,,,99.79419,,,,,,,,,,,,,,,,,,,,,,,
Luxembourg,LUX,"Adult literacy rate, population 15+ years, male (%)",SE.ADT.LITR.MA.ZS,Europe & Central Asia,ECS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latvia,LVA,"Adult literacy rate, population 15+ years, male (%)",SE.ADT.LITR.MA.ZS,Europe & Central Asia,ECS,,,,,,,,,,,,,,,,,,,,99.75453949,,,,,,,,,,,99.79334,,,,,,,,,,,99.8811,,,,,,,,,,,,,,,,,,,,,,,
"Macao SAR, China",MAC,"Adult literacy rate, population 15+ years, male (%)",SE.ADT.LITR.MA.ZS,East Asia & Pacific,EAS,,,,,,,,,,,,92.80967712,,,,,,,,,,,,,,,,,,,,95.27621,,,,,96.46999,,,,,97.75129,,,,,98.18592,,,,,,,,,,,,,,,,,,
St. Martin (French part),MAF,"Adult literacy rate, population 15+ years, male (%)",SE.ADT.LITR.MA.ZS,Latin America & Caribbean,LCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morocco,MAR,"Adult literacy rate, population 15+ years, male (%)",SE.ADT.LITR.MA.ZS,Middle East & North Africa,MEA,,,,,,,,,,,,,43.7143898,,,,,,,,,,,,55.15517044,,,,,,,,,,65.70676,,,,68.36586,68.91762,,76.07358,80.38336,,,,,,,,,,,,,,,,,,,,,,
Monaco,MCO,"Adult literacy rate, population 15+ years, male (%)",SE.ADT.LITR.MA.ZS,Europe & Central Asia,ECS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moldova,MDA,"Adult literacy rate, population 15+ years, male (%)",SE.ADT.LITR.MA.ZS,Europe & Central Asia,ECS,,,,,,,,,,,,,,,,,,,,98.61405182,,,,,,,,,,,97.97762,,,,,,,,,,,,99.37359,,,,,,,,,,,,,,,,,,,,,,
